settlement_name,settlement_owner,minTurn,maxTurn,factionId,factionLabel
wh2_main_the_wolf_lands_mount_silverspear,wh2_main_skv_clan_skyre,66,187,337,Skaven
wh2_main_the_plain_of_bones_the_fortress_of_vorag,wh2_main_skv_clan_skyre,68,187,337,Skaven
wh2_main_the_plain_of_bones_darkhold,wh2_main_skv_clan_skyre,69,187,337,Skaven
wh2_main_southern_dark_lands_deadrock_gap,wh2_main_skv_clan_skyre,70,70,337,Skaven
wh2_main_gnoblar_country_pigbarter,wh2_main_skv_clan_skyre,71,187,337,Skaven
wh2_main_the_wolf_lands_mount_greyhag,wh2_main_skv_clan_skyre,77,187,337,Skaven
wh_main_carcassone_et_brionne_brionne,wh2_main_skv_clan_skyre,80,186,337,Skaven
wh2_main_the_broken_teeth_nagashizar,wh2_main_skv_clan_skyre,80,187,337,Skaven
wh2_main_the_broken_teeth_desolation_of_nagash,wh2_main_skv_clan_skyre,82,187,337,Skaven
wh2_main_devils_backbone_lahmia,wh2_main_skv_clan_skyre,85,187,337,Skaven
wh_main_massif_orcal_massif_orcal,wh2_main_skv_clan_skyre,85,187,337,Skaven
wh2_main_devils_backbone_mahrak,wh2_main_skv_clan_skyre,86,187,337,Skaven
wh2_main_charnel_valley_granite_massif,wh2_main_skv_clan_skyre,89,187,337,Skaven
wh2_main_charnel_valley_karag_orrud,wh2_main_skv_clan_skyre,90,187,337,Skaven
wh2_main_yvresse_tralinia,wh2_main_skv_clan_skyre,90,187,337,Skaven
wh2_main_ash_river_quatar,wh2_main_skv_clan_skyre,91,187,337,Skaven
wh2_main_southlands_worlds_edge_mountains_mount_arachnos,wh2_main_skv_clan_skyre,93,187,337,Skaven
wh2_main_gnoblar_country_flayed_rock,wh2_main_skv_clan_skyre,97,187,337,Skaven
wh_main_blightwater_misty_mountain,wh2_main_skv_clan_skyre,97,187,337,Skaven
wh2_main_the_galleons_graveyard,wh2_main_skv_clan_skyre,98,187,337,Skaven
wh2_main_yvresse_tor_yvresse,wh2_main_skv_clan_skyre,98,187,337,Skaven
wh_main_blightwater_kradtommen,wh2_main_skv_clan_skyre,99,187,337,Skaven
wh_main_blightwater_karak_azgal,wh2_main_skv_clan_skyre,99,187,337,Skaven
wh2_main_marshes_of_madness_morgheim,wh2_main_skv_clan_skyre,101,187,337,Skaven
wh_main_western_badlands_dragonhorn_mines,wh2_main_skv_clan_skyre,103,187,337,Skaven
wh2_main_cothique_tor_koruali,wh2_main_skv_clan_skyre,104,187,337,Skaven
wh2_main_vampire_coast_pox_marsh,wh2_main_skv_clan_skyre,104,117,337,Skaven
wh2_main_cothique_mistnar,wh2_main_skv_clan_skyre,105,187,337,Skaven
wh_main_blightwater_deff_gorge,wh2_main_skv_clan_skyre,107,187,337,Skaven
wh_main_southern_badlands_agrul_migdhal,wh2_main_skv_clan_skyre,113,187,337,Skaven
wh2_main_ash_river_numas,wh2_main_skv_clan_skyre,114,166,337,Skaven
wh2_main_yvresse_elessaeli,wh2_main_skv_clan_skyre,115,187,337,Skaven
wh_main_southern_badlands_galbaraz,wh2_main_skv_clan_skyre,115,187,337,Skaven
wh2_main_marshes_of_madness_floating_village,wh2_main_skv_clan_skyre,117,187,337,Skaven
wh_main_southern_badlands_gor_gazan,wh2_main_skv_clan_skyre,120,187,337,Skaven
wh2_main_yvresse_shrine_of_loec,wh2_main_skv_clan_skyre,120,187,337,Skaven
wh2_main_southern_jungle_of_pahualaxa_monument_of_the_moon,wh2_main_skv_clan_skyre,123,187,337,Skaven
wh2_main_eataine_lothern,wh2_main_skv_clan_skyre,125,187,337,Skaven
wh_main_black_mountains_karak_angazhar,wh2_main_skv_clan_skyre,125,187,337,Skaven
wh2_main_eataine_angerrial,wh2_main_skv_clan_skyre,126,187,337,Skaven
wh2_main_saphery_port_elistor,wh2_main_skv_clan_skyre,127,187,337,Skaven
wh2_main_eataine_shrine_of_asuryan,wh2_main_skv_clan_skyre,127,187,337,Skaven
wh_main_black_mountains_mighdal_vongalbarak,wh2_main_skv_clan_skyre,127,187,337,Skaven
wh2_main_saphery_tower_of_hoeth,wh2_main_skv_clan_skyre,128,187,337,Skaven
wh_main_black_mountains_karak_hirn,wh2_main_skv_clan_skyre,129,187,337,Skaven
wh2_main_fort_soll,wh2_main_skv_clan_skyre,130,187,337,Skaven
wh2_main_solland_pfeildorf,wh2_main_skv_clan_skyre,131,187,337,Skaven
wh2_main_solland_steingart,wh2_main_skv_clan_skyre,131,187,337,Skaven
wh2_main_avelorn_gaean_vale,wh2_main_skv_clan_skyre,132,187,337,Skaven
wh_main_averland_averheim,wh2_main_skv_clan_skyre,132,187,337,Skaven
wh_main_averland_grenzstadt,wh2_main_skv_clan_skyre,133,187,337,Skaven
wh_main_wissenland_wissenburg,wh2_main_skv_clan_skyre,134,187,337,Skaven
wh_main_stirland_the_moot,wh2_main_skv_clan_skyre,135,187,337,Skaven
wh_main_western_sylvania_schwartzhafen,wh2_main_skv_clan_skyre,135,187,337,Skaven
wh_main_western_sylvania_fort_oberstyre,wh2_main_skv_clan_skyre,136,187,337,Skaven
wh_main_western_sylvania_castle_templehof,wh2_main_skv_clan_skyre,136,187,337,Skaven
wh_main_eastern_sylvania_eschen,wh2_main_skv_clan_skyre,137,187,337,Skaven
wh_main_eastern_sylvania_waldenhof,wh2_main_skv_clan_skyre,138,187,337,Skaven
wh_main_ostermark_essen,wh2_main_skv_clan_skyre,139,156,337,Skaven
wh_main_ostermark_mordheim,wh2_main_skv_clan_skyre,140,155,337,Skaven
wh2_main_devils_backbone_lybaras,wh2_main_skv_clan_skyre,140,187,337,Skaven
wh_main_stirland_flensburg,wh2_main_skv_clan_skyre,141,187,337,Skaven
wh_main_ostermark_nagenhof,wh2_main_skv_clan_skyre,142,151,337,Skaven
wh_main_southern_oblast_fort_jakova,wh2_main_skv_clan_skyre,143,187,337,Skaven
wh2_main_northern_jungle_of_pahualaxa_swamp_town,wh2_main_skv_clan_skyre,144,187,337,Skaven
wh_main_wissenland_pfeildorf,wh2_main_skv_clan_skyre,145,187,337,Skaven
wh2_main_southern_jungle_of_pahualaxa_pahuax,wh2_main_skv_clan_skyre,146,187,337,Skaven
wh_main_talabecland_krugenheim,wh2_main_skv_clan_skyre,146,187,337,Skaven
wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel,wh2_main_skv_clan_skyre,147,187,337,Skaven
wh_main_stirland_niedling,wh2_main_skv_clan_skyre,147,187,337,Skaven
wh_main_wissenland_nuln,wh2_main_skv_clan_skyre,147,187,337,Skaven
wh_main_reikland_grunburg,wh2_main_skv_clan_skyre,148,187,337,Skaven
wh2_main_southern_jungle_of_pahualaxa_floating_pyramid,wh2_main_skv_clan_skyre,148,167,337,Skaven
wh_main_talabecland_kemperbad,wh2_main_skv_clan_skyre,149,187,337,Skaven
wh_main_stirland_wurtbad,wh2_main_skv_clan_skyre,149,187,337,Skaven
wh2_main_great_mortis_delta_black_pyramid_of_nagash,wh2_main_skv_clan_skyre,149,187,337,Skaven
wh_main_southern_grey_mountains_grimhold,wh2_main_skv_clan_skyre,152,187,337,Skaven
wh_main_the_vaults_karak_bhufdar,wh2_main_skv_clan_skyre,152,187,337,Skaven
wh2_main_northern_jungle_of_pahualaxa_port_reaver,wh2_main_skv_clan_skyre,153,187,337,Skaven
wh2_main_eataine_tower_of_lysean,wh2_main_skv_clan_skyre,153,187,337,Skaven
wh_main_southern_grey_mountains_karak_norn,wh2_main_skv_clan_skyre,154,187,337,Skaven
wh2_main_isthmus_of_lustria_hexoatl,wh2_main_skv_clan_skyre,155,187,337,Skaven
wh_main_eastern_sylvania_castle_drakenhof,wh2_main_skv_clan_skyre,155,187,337,Skaven
wh_main_the_silver_road_karaz_a_karak,wh2_main_skv_clan_skyre,156,187,337,Skaven
wh_main_zhufbar_oakenhammer,wh2_main_skv_clan_skyre,156,185,337,Skaven
wh_main_zhufbar_zhufbar,wh2_main_skv_clan_skyre,156,184,337,Skaven
wh2_main_isthmus_of_lustria_fallen_gates,wh2_main_skv_clan_skyre,156,187,337,Skaven
wh_main_the_vaults_karak_izor,wh2_main_skv_clan_skyre,156,187,337,Skaven
wh_main_southern_grey_mountains_karak_azgaraz,wh2_main_skv_clan_skyre,156,187,337,Skaven
wh_main_rib_peaks_grom_peak,wh2_main_skv_clan_skyre,157,187,337,Skaven
wh_main_reikland_helmgart,wh2_main_skv_clan_skyre,157,187,337,Skaven
wh_main_the_silver_road_the_pillars_of_grungni,wh2_main_skv_clan_skyre,157,187,337,Skaven
wh2_main_isthmus_of_lustria_ziggurat_of_dawn,wh2_main_skv_clan_skyre,158,187,337,Skaven
wh_main_reikland_altdorf,wh2_main_skv_clan_skyre,158,187,337,Skaven
wh_main_the_silver_road_mount_squighorn,wh2_main_skv_clan_skyre,158,187,337,Skaven
wh_main_athel_loren_yn_edryl_korian,wh2_main_skv_clan_skyre,159,187,337,Skaven
wh2_main_isthmus_of_lustria_skeggi,wh2_main_skv_clan_skyre,159,187,337,Skaven
wh_main_zhufbar_karag_dromar,wh2_main_skv_clan_skyre,159,187,337,Skaven
wh_main_rib_peaks_mount_gunbad,wh2_main_skv_clan_skyre,159,181,337,Skaven
wh_main_middenland_carroburg,wh2_main_skv_clan_skyre,160,174,337,Skaven
wh_main_yn_edri_eternos_the_oak_of_ages,wh2_main_skv_clan_skyre,160,187,337,Skaven
wh_main_death_pass_karag_dron,wh2_main_skv_clan_skyre,160,187,337,Skaven
wh_main_middenland_weismund,wh2_main_skv_clan_skyre,161,172,337,Skaven
wh_main_middenland_middenstag,wh2_main_skv_clan_skyre,162,187,337,Skaven
wh_main_hochland_hergig,wh2_main_skv_clan_skyre,163,187,337,Skaven
wh_main_reikland_eilhart,wh2_main_skv_clan_skyre,163,187,337,Skaven
wh_main_death_pass_karak_drazh,wh2_main_skv_clan_skyre,163,187,337,Skaven
wh_main_talabecland_talabheim,wh2_main_skv_clan_skyre,164,187,337,Skaven
wh_main_carcassone_et_brionne_castle_carcassonne,wh2_main_skv_clan_skyre,165,187,337,Skaven
wh_main_talabecland_kappelburg,wh2_main_skv_clan_skyre,165,187,337,Skaven
wh_main_desolation_of_nagash_black_iron_mine,wh2_main_skv_clan_skyre,165,187,337,Skaven
wh_main_parravon_et_quenelles_quenelles,wh2_main_skv_clan_skyre,166,187,337,Skaven
wh2_main_the_wolf_lands_crookback_mountain,wh2_main_skv_clan_skyre,166,187,337,Skaven
wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek,wh2_main_skv_clan_skyre,166,187,337,Skaven
wh_main_parravon_et_quenelles_parravon,wh2_main_skv_clan_skyre,167,187,337,Skaven
wh_main_bastonne_et_montfort_montfort,wh2_main_skv_clan_skyre,168,187,337,Skaven
wh_main_athel_loren_crag_halls,wh2_main_skv_clan_skyre,168,187,337,Skaven
wh_main_middenland_middenheim,wh2_main_skv_clan_skyre,168,187,337,Skaven
wh2_main_fort_helmgart,wh2_main_skv_clan_skyre,169,187,337,Skaven
wh_main_athel_loren_vauls_anvil,wh2_main_skv_clan_skyre,169,187,337,Skaven
wh_main_northern_grey_mountains_karak_ziflin,wh2_main_skv_clan_skyre,170,187,337,Skaven
wh2_main_northern_jungle_of_pahualaxa_macu_peaks,wh2_main_skv_clan_skyre,171,187,337,Skaven
wh2_main_caledor_tor_sethai,wh2_main_skv_clan_skyre,171,187,337,Skaven
wh_main_northern_grey_mountains_blackstone_post,wh2_main_skv_clan_skyre,171,187,337,Skaven
wh2_main_laurelorn_forest_laurelorn_forest,wh2_main_skv_clan_skyre,172,187,337,Skaven
wh_main_forest_of_arden_gisoreux,wh2_main_skv_clan_skyre,172,187,337,Skaven
wh2_main_misty_hills_the_black_pit,wh2_main_skv_clan_skyre,173,187,337,Skaven
wh_main_bordeleaux_et_aquitaine_aquitaine,wh2_main_skv_clan_skyre,176,187,337,Skaven
wh_main_bordeleaux_et_aquitaine_bordeleaux,wh2_main_skv_clan_skyre,177,187,337,Skaven
wh_main_forest_of_arden_castle_artois,wh2_main_skv_clan_skyre,177,187,337,Skaven
wh_main_bastonne_et_montfort_castle_bastonne,wh2_main_skv_clan_skyre,178,187,337,Skaven
wh_main_the_wasteland_gorssel,wh2_main_skv_clan_skyre,180,187,337,Skaven
wh_main_couronne_et_languille_couronne,wh2_main_skv_clan_skyre,181,187,337,Skaven
wh_main_northern_grey_mountains_grung_zint,wh2_main_skv_clan_skyre,182,187,337,Skaven
wh_main_the_wasteland_marienburg,wh2_main_skv_clan_skyre,182,187,337,Skaven
wh_main_the_wasteland_aarnau,wh2_main_skv_clan_skyre,182,187,337,Skaven
wh2_main_fort_bergbres,wh2_main_skv_clan_skyre,183,187,337,Skaven
wh2_main_hell_pit_hell_pit,wh2_main_skv_clan_skyre,187,187,337,Skaven
wh2_main_vampire_coast_the_awakening,wh2_main_skv_clan_skyre,187,187,337,Skaven
